loss,params,iteration,estimators,train_time
0.5982217780244732,"{'colsample_bytree': 0.8775650622113241, 'learning_rate': 0.08073336772458695, 'min_child_samples': 145, 'num_leaves': 210, 'reg_alpha': 0.48434880716316175, 'reg_lambda': 0.4131741003535929, 'subsample_for_bin': 170000}",34,371,2.708264200000002
0.4921712278517637,"{'colsample_bytree': 0.754755023502297, 'learning_rate': 0.06402997055548941, 'min_child_samples': 115, 'num_leaves': 130, 'reg_alpha': 0.26712085666060387, 'reg_lambda': 0.25530939457008883, 'subsample_for_bin': 130000}",35,694,4.681736900000004
1.0,"{'colsample_bytree': 0.9948678680354791, 'learning_rate': 0.1013265168997414, 'min_child_samples': 250, 'num_leaves': 270, 'reg_alpha': 0.7352077549127126, 'reg_lambda': 0.08742555918126198, 'subsample_for_bin': 70000}",36,1,0.7196904999999987
1.0,"{'colsample_bytree': 0.9242407727092612, 'learning_rate': 0.05271843891683249, 'min_child_samples': 200, 'num_leaves': 215, 'reg_alpha': 0.07734395786858106, 'reg_lambda': 0.5010998265859848, 'subsample_for_bin': 80000}",37,1,0.6302500000000038
0.3980825488229406,"{'colsample_bytree': 0.8247298695691812, 'learning_rate': 0.035771895911244064, 'min_child_samples': 45, 'num_leaves': 440, 'reg_alpha': 0.3665485144956052, 'reg_lambda': 0.3859158193095358, 'subsample_for_bin': 100000}",38,218,2.4011196999999953
1.0,"{'colsample_bytree': 0.8393521329620169, 'learning_rate': 0.07528454496655812, 'min_child_samples': 190, 'num_leaves': 335, 'reg_alpha': 0.8472483735762177, 'reg_lambda': 0.29357896422559016, 'subsample_for_bin': 160000}",39,1,0.7061781999999965
1.0,"{'colsample_bytree': 0.8065418796541182, 'learning_rate': 0.022872359052913023, 'min_child_samples': 165, 'num_leaves': 285, 'reg_alpha': 0.9347671309761041, 'reg_lambda': 0.6346670719046141, 'subsample_for_bin': 120000}",40,1,0.6621622999999985
1.0,"{'colsample_bytree': 0.9579806132503154, 'learning_rate': 0.016447269941158225, 'min_child_samples': 85, 'num_leaves': 65, 'reg_alpha': 0.6546909820934014, 'reg_lambda': 0.471910163895001, 'subsample_for_bin': 190000}",41,1,0.6046167000000011
1.0,"{'colsample_bytree': 0.6988518198871968, 'learning_rate': 0.047302929543289005, 'min_child_samples': 290, 'num_leaves': 245, 'reg_alpha': 0.23669706050371148, 'reg_lambda': 0.8224764800530278, 'subsample_for_bin': 150000}",42,1,0.6179680999999988
1.0,"{'colsample_bytree': 0.9281107287621083, 'learning_rate': 0.04213440584790893, 'min_child_samples': 350, 'num_leaves': 200, 'reg_alpha': 0.7263949535576666, 'reg_lambda': 0.04349220247164021, 'subsample_for_bin': 20000}",43,1,0.6052453
0.613236055036817,"{'colsample_bytree': 0.8853220880733371, 'learning_rate': 0.19454521208847392, 'min_child_samples': 125, 'num_leaves': 470, 'reg_alpha': 0.11192897761104942, 'reg_lambda': 0.20481194270996256, 'subsample_for_bin': 50000}",44,87,1.203012000000001
0.48708002181026766,"{'colsample_bytree': 0.781677110003523, 'learning_rate': 0.02160478973550973, 'min_child_samples': 70, 'num_leaves': 390, 'reg_alpha': 0.8127621470262834, 'reg_lambda': 0.4146980563641558, 'subsample_for_bin': 60000}",45,365,2.9628181
1.0,"{'colsample_bytree': 0.9898936178790426, 'learning_rate': 0.03087596377429571, 'min_child_samples': 155, 'num_leaves': 145, 'reg_alpha': 0.4742625600908409, 'reg_lambda': 0.3526987765639028, 'subsample_for_bin': 140000}",46,1,0.5842037999999974
1.0,"{'colsample_bytree': 0.9426724535962249, 'learning_rate': 0.16056073112574643, 'min_child_samples': 250, 'num_leaves': 310, 'reg_alpha': 0.30256929717794556, 'reg_lambda': 0.5421800679035451, 'subsample_for_bin': 80000}",47,1,0.684617099999997
0.34707756489934705,"{'colsample_bytree': 0.6545041033591563, 'learning_rate': 0.11265478314834407, 'min_child_samples': 95, 'num_leaves': 425, 'reg_alpha': 0.3958621057175706, 'reg_lambda': 0.13891282370749952, 'subsample_for_bin': 120000}",48,499,3.7056956999999926
1.0,"{'colsample_bytree': 0.6684907896017698, 'learning_rate': 0.1183654993511909, 'min_child_samples': 180, 'num_leaves': 425, 'reg_alpha': 0.37504885976327274, 'reg_lambda': 0.13642099506747596, 'subsample_for_bin': 120000}",49,1,0.7428857000000022
0.3693895110758364,"{'colsample_bytree': 0.6517716126567038, 'learning_rate': 0.08687337837801246, 'min_child_samples': 95, 'num_leaves': 380, 'reg_alpha': 0.1078802805014697, 'reg_lambda': 0.0935330013446376, 'subsample_for_bin': 110000}",50,461,3.451780900000003
1.0,"{'colsample_bytree': 0.6569264181803277, 'learning_rate': 0.09284361420670051, 'min_child_samples': 450, 'num_leaves': 380, 'reg_alpha': 0.054604582172686024, 'reg_lambda': 0.011502995758245912, 'subsample_for_bin': 110000}",51,1,0.7294914000000006
1.0,"{'colsample_bytree': 0.6071831049066222, 'learning_rate': 0.1755645970391021, 'min_child_samples': 275, 'num_leaves': 415, 'reg_alpha': 0.13143751194062211, 'reg_lambda': 0.09985652648382033, 'subsample_for_bin': 140000}",52,1,0.7366260999999952
1.0,"{'colsample_bytree': 0.6412730933830898, 'learning_rate': 0.0816837478460302, 'min_child_samples': 210, 'num_leaves': 500, 'reg_alpha': 0.2116678822868823, 'reg_lambda': 0.04132876518967876, 'subsample_for_bin': 90000}",53,1,0.8005392000000029
0.4029852028033971,"{'colsample_bytree': 0.7162628472136254, 'learning_rate': 0.11048428217998973, 'min_child_samples': 100, 'num_leaves': 345, 'reg_alpha': 0.15434438367191433, 'reg_lambda': 0.9629501978721042, 'subsample_for_bin': 120000}",54,368,2.971833899999993
1.0,"{'colsample_bytree': 0.6002595854585187, 'learning_rate': 0.07417506334302604, 'min_child_samples': 325, 'num_leaves': 455, 'reg_alpha': 0.019020685665967874, 'reg_lambda': 0.07069727674194913, 'subsample_for_bin': 160000}",55,1,1.0460716000000048
1.0,"{'colsample_bytree': 0.6431958872036294, 'learning_rate': 0.12828179837422538, 'min_child_samples': 230, 'num_leaves': 480, 'reg_alpha': 0.29795939902395363, 'reg_lambda': 0.2894729996071538, 'subsample_for_bin': 130000}",56,1,0.8144601000000051
0.6359737682919144,"{'colsample_bytree': 0.7309338146619665, 'learning_rate': 0.056928646807683225, 'min_child_samples': 130, 'num_leaves': 375, 'reg_alpha': 0.24750764598681774, 'reg_lambda': 0.13529330942208745, 'subsample_for_bin': 100000}",57,329,3.0166756999999933
1.0,"{'colsample_bytree': 0.7543999836458629, 'learning_rate': 0.10456064181297532, 'min_child_samples': 380, 'num_leaves': 355, 'reg_alpha': 0.32469443761683386, 'reg_lambda': 0.2499843312112952, 'subsample_for_bin': 80000}",58,1,0.7626695000000012
0.42872943182432766,"{'colsample_bytree': 0.6199171247916498, 'learning_rate': 0.15913064925605888, 'min_child_samples': 30, 'num_leaves': 440, 'reg_alpha': 0.0928535001138574, 'reg_lambda': 0.17952670808445548, 'subsample_for_bin': 180000}",59,32,1.3606745000000018
0.43872761548870864,"{'colsample_bytree': 0.6843162970111218, 'learning_rate': 0.0892346504203341, 'min_child_samples': 95, 'num_leaves': 330, 'reg_alpha': 0.41554335054062197, 'reg_lambda': 0.22176437488776427, 'subsample_for_bin': 110000}",60,326,2.6971254000000044
1.0,"{'colsample_bytree': 0.7047660305840635, 'learning_rate': 0.06025387086970048, 'min_child_samples': 165, 'num_leaves': 300, 'reg_alpha': 0.04137149534796239, 'reg_lambda': 0.009722796103032297, 'subsample_for_bin': 140000}",61,1,0.655046200000001
1.0,"{'colsample_bytree': 0.6631395221696564, 'learning_rate': 0.07034116791563125, 'min_child_samples': 220, 'num_leaves': 475, 'reg_alpha': 0.2022789232118931, 'reg_lambda': 0.7300495759652491, 'subsample_for_bin': 150000}",62,1,0.7622242999999997
0.3761769878353606,"{'colsample_bytree': 0.7687671904767002, 'learning_rate': 0.052138102168684766, 'min_child_samples': 65, 'num_leaves': 425, 'reg_alpha': 0.16438305264014358, 'reg_lambda': 0.8872406649725695, 'subsample_for_bin': 60000}",63,289,2.624884499999993
0.5930452957156229,"{'colsample_bytree': 0.7366270820541562, 'learning_rate': 0.08400317786134612, 'min_child_samples': 120, 'num_leaves': 395, 'reg_alpha': 0.38335501500675256, 'reg_lambda': 0.3477457974527771, 'subsample_for_bin': 120000}",64,299,2.4534381999999937
1.0,"{'colsample_bytree': 0.6294351445674357, 'learning_rate': 0.03875184415861355, 'min_child_samples': 140, 'num_leaves': 365, 'reg_alpha': 0.5846345883572308, 'reg_lambda': 0.46477051569649885, 'subsample_for_bin': 180000}",65,1,0.6952664000000084
0.42102511670271847,"{'colsample_bytree': 0.6847937099792304, 'learning_rate': 0.13401755335414045, 'min_child_samples': 35, 'num_leaves': 260, 'reg_alpha': 0.9183041296286539, 'reg_lambda': 0.18404783245153214, 'subsample_for_bin': 90000}",66,72,1.2620960999999937
0.37322993438904783,"{'colsample_bytree': 0.7960456901662911, 'learning_rate': 0.19152604448872132, 'min_child_samples': 50, 'num_leaves': 190, 'reg_alpha': 0.5474386089405829, 'reg_lambda': 0.12151662486858557, 'subsample_for_bin': 40000}",67,84,1.265031399999998
0.49292753590083305,"{'colsample_bytree': 0.6075321122559083, 'learning_rate': 0.141909646352, 'min_child_samples': 110, 'num_leaves': 225, 'reg_alpha': 0.6138253788247036, 'reg_lambda': 0.058364683214117224, 'subsample_for_bin': 20000}",68,383,2.841601099999991
0.4210038338918387,"{'colsample_bytree': 0.9044587074575619, 'learning_rate': 0.09735275098777585, 'min_child_samples': 70, 'num_leaves': 315, 'reg_alpha': 0.5116881342877609, 'reg_lambda': 0.23061538704415868, 'subsample_for_bin': 100000}",69,105,1.4721827999999988
0.46775845904564384,"{'colsample_bytree': 0.8567402435279005, 'learning_rate': 0.11730135199816287, 'min_child_samples': 95, 'num_leaves': 115, 'reg_alpha': 0.8382451799052952, 'reg_lambda': 0.2768508941116171, 'subsample_for_bin': 130000}",70,125,1.2766404000000051
0.4455994296901721,"{'colsample_bytree': 0.7419792696218509, 'learning_rate': 0.1557713717229799, 'min_child_samples': 60, 'num_leaves': 255, 'reg_alpha': 0.7720107432551914, 'reg_lambda': 0.15665419045645165, 'subsample_for_bin': 110000}",71,51,1.0120861999999988
0.366242907396395,"{'colsample_bytree': 0.7700956726422549, 'learning_rate': 0.17691051716752948, 'min_child_samples': 35, 'num_leaves': 285, 'reg_alpha': 0.4573563295427916, 'reg_lambda': 0.10253717712820687, 'subsample_for_bin': 90000}",72,62,1.2844582999999972
0.3895405374303216,"{'colsample_bytree': 0.7691123220832916, 'learning_rate': 0.18032245650490714, 'min_child_samples': 20, 'num_leaves': 290, 'reg_alpha': 0.33946415483678033, 'reg_lambda': 0.0966169746066039, 'subsample_for_bin': 70000}",73,32,1.0964556999999928
0.4670799562839274,"{'colsample_bytree': 0.7160088567993047, 'learning_rate': 0.11360880087549806, 'min_child_samples': 80, 'num_leaves': 340, 'reg_alpha': 0.4535772294928473, 'reg_lambda': 0.3168040027637763, 'subsample_for_bin': 90000}",74,106,1.4426249000000126
0.3601875257941878,"{'colsample_bytree': 0.6501863353841031, 'learning_rate': 0.12645563192306067, 'min_child_samples': 40, 'num_leaves': 410, 'reg_alpha': 0.3940326238943788, 'reg_lambda': 0.03841776439854276, 'subsample_for_bin': 100000}",75,96,1.4682499999999976
0.3761702683543683,"{'colsample_bytree': 0.6943134419763178, 'learning_rate': 0.12432363710549738, 'min_child_samples': 35, 'num_leaves': 500, 'reg_alpha': 0.4585191733513059, 'reg_lambda': 0.02568738348940025, 'subsample_for_bin': 80000}",76,110,1.658436000000009
0.35609158996558754,"{'colsample_bytree': 0.6688384522854375, 'learning_rate': 0.15092780425610539, 'min_child_samples': 45, 'num_leaves': 465, 'reg_alpha': 0.4098951174991578, 'reg_lambda': 0.0007222818107553708, 'subsample_for_bin': 60000}",77,96,1.8298195000000135
1.0,"{'colsample_bytree': 0.6726732197109633, 'learning_rate': 0.15162790976860802, 'min_child_samples': 180, 'num_leaves': 465, 'reg_alpha': 0.4202435469892958, 'reg_lambda': 0.06269213641859882, 'subsample_for_bin': 40000}",78,1,0.7461405000000099
0.5956317518440843,"{'colsample_bytree': 0.632193236131864, 'learning_rate': 0.19564404841927518, 'min_child_samples': 155, 'num_leaves': 490, 'reg_alpha': 0.4006781839589463, 'reg_lambda': 0.6064770289313457, 'subsample_for_bin': 60000}",79,224,2.1725031
0.5058947852631797,"{'colsample_bytree': 0.7122830234252576, 'learning_rate': 0.0998384889851306, 'min_child_samples': 110, 'num_leaves': 415, 'reg_alpha': 0.49806678606439747, 'reg_lambda': 0.14966990696040097, 'subsample_for_bin': 30000}",80,431,3.148873000000009
1.0,"{'colsample_bytree': 0.6455156320406074, 'learning_rate': 0.13623164728069476, 'min_child_samples': 245, 'num_leaves': 450, 'reg_alpha': 0.3189982951347433, 'reg_lambda': 0.3962083506890524, 'subsample_for_bin': 70000}",81,1,0.7530628000000092
0.39586713992195244,"{'colsample_bytree': 0.6734982782768351, 'learning_rate': 0.07116632081522523, 'min_child_samples': 20, 'num_leaves': 490, 'reg_alpha': 0.26043390894603724, 'reg_lambda': 0.03706706870368042, 'subsample_for_bin': 130000}",82,61,1.492732200000006
0.324985144003089,"{'colsample_bytree': 0.6199762744094172, 'learning_rate': 0.1636367810872497, 'min_child_samples': 75, 'num_leaves': 410, 'reg_alpha': 0.5539061195810293, 'reg_lambda': 0.0025509729363651576, 'subsample_for_bin': 100000}",83,208,2.072049100000001
0.5707252076363516,"{'colsample_bytree': 0.6159725836266216, 'learning_rate': 0.16667167966618632, 'min_child_samples': 140, 'num_leaves': 435, 'reg_alpha': 0.3607179386102687, 'reg_lambda': 0.006833070235637554, 'subsample_for_bin': 60000}",84,189,1.8080849000000114
1.0,"{'colsample_bytree': 0.6005425432846581, 'learning_rate': 0.15172615617821808, 'min_child_samples': 190, 'num_leaves': 445, 'reg_alpha': 0.7361442705074925, 'reg_lambda': 0.07136358715130736, 'subsample_for_bin': 50000}",85,1,0.7583778000000052
0.38183939984436555,"{'colsample_bytree': 0.6939860732673824, 'learning_rate': 0.1824453573361354, 'min_child_samples': 50, 'num_leaves': 455, 'reg_alpha': 0.5608502606821856, 'reg_lambda': 0.20181793846882312, 'subsample_for_bin': 170000}",86,56,1.2290404999999964
1.0,"{'colsample_bytree': 0.6575561840564971, 'learning_rate': 0.06012610055828721, 'min_child_samples': 495, 'num_leaves': 385, 'reg_alpha': 0.6626251350873885, 'reg_lambda': 0.00010886973501855746, 'subsample_for_bin': 80000}",87,1,0.6958754999999996
0.4817097543087643,"{'colsample_bytree': 0.6216319439916455, 'learning_rate': 0.09397065131855581, 'min_child_samples': 80, 'num_leaves': 400, 'reg_alpha': 0.5332816468056764, 'reg_lambda': 0.1212187278318774, 'subsample_for_bin': 10000}",88,128,1.6016209999999944
1.0,"{'colsample_bytree': 0.6111036067240392, 'learning_rate': 0.0272904875807294, 'min_child_samples': 130, 'num_leaves': 465, 'reg_alpha': 0.48689918391733544, 'reg_lambda': 0.6551635169167189, 'subsample_for_bin': 120000}",89,1,0.8135469999999998
1.0,"{'colsample_bytree': 0.8142747564139696, 'learning_rate': 0.07796117056631677, 'min_child_samples': 165, 'num_leaves': 320, 'reg_alpha': 0.6258731589400738, 'reg_lambda': 0.527118457183844, 'subsample_for_bin': 150000}",90,1,0.6952578000000074
1.0,"{'colsample_bytree': 0.636978074442824, 'learning_rate': 0.03340796674362368, 'min_child_samples': 310, 'num_leaves': 365, 'reg_alpha': 0.2782359274480307, 'reg_lambda': 0.24727623093734188, 'subsample_for_bin': 70000}",91,1,0.7058681999999976
1.0,"{'colsample_bytree': 0.7218215988969828, 'learning_rate': 0.10662663806602522, 'min_child_samples': 355, 'num_leaves': 425, 'reg_alpha': 0.4273065633962707, 'reg_lambda': 0.3692505556290058, 'subsample_for_bin': 160000}",92,1,0.7216456999999821
1.0,"{'colsample_bytree': 0.7486078733834789, 'learning_rate': 0.1209228295079511, 'min_child_samples': 400, 'num_leaves': 45, 'reg_alpha': 0.22096635480700075, 'reg_lambda': 0.7437743678368006, 'subsample_for_bin': 100000}",93,1,0.585576599999996
1.0,"{'colsample_bytree': 0.704056225580181, 'learning_rate': 0.19839896733660653, 'min_child_samples': 265, 'num_leaves': 355, 'reg_alpha': 0.9986477062957064, 'reg_lambda': 0.1706333212804733, 'subsample_for_bin': 40000}",94,1,0.6772652999999877
1.0,"{'colsample_bytree': 0.672254541316663, 'learning_rate': 0.04939967175348734, 'min_child_samples': 240, 'num_leaves': 420, 'reg_alpha': 0.6373667812425365, 'reg_lambda': 0.32901367171668006, 'subsample_for_bin': 140000}",95,1,0.7098376000000144
1.0,"{'colsample_bytree': 0.6267276276172427, 'learning_rate': 0.16766462251553774, 'min_child_samples': 460, 'num_leaves': 480, 'reg_alpha': 0.5815222484647757, 'reg_lambda': 0.21605750995613024, 'subsample_for_bin': 20000}",96,1,0.765439200000003
1.0,"{'colsample_bytree': 0.6863371061359685, 'learning_rate': 0.04341340967682175, 'min_child_samples': 200, 'num_leaves': 390, 'reg_alpha': 0.6871956494431644, 'reg_lambda': 0.43658015341338546, 'subsample_for_bin': 110000}",97,1,0.7074649999999849
0.40398986981742635,"{'colsample_bytree': 0.6007761520895057, 'learning_rate': 0.14891922904403498, 'min_child_samples': 75, 'num_leaves': 305, 'reg_alpha': 0.18256233450883796, 'reg_lambda': 0.5780580826243309, 'subsample_for_bin': 80000}",98,104,1.2704272999999944
0.3527149290381594,"{'colsample_bytree': 0.660484066191251, 'learning_rate': 0.13039715023686285, 'min_child_samples': 60, 'num_leaves': 435, 'reg_alpha': 0.603892296696557, 'reg_lambda': 0.07670007978778473, 'subsample_for_bin': 120000}",99,96,1.47339980000001
0.5502654340226538,"{'colsample_bytree': 0.6599546590567268, 'learning_rate': 0.06491640751911107, 'min_child_samples': 105, 'num_leaves': 370, 'reg_alpha': 0.7515803551385271, 'reg_lambda': 0.2916008434674222, 'subsample_for_bin': 150000}",100,206,1.8613432999999873
